1: 消极百分比8.45% 积极百分比91.55%
2: 消极百分比11.25% 积极百分比88.75%
3: 消极百分比16.37% 积极百分比83.63%
4: 消极百分比50.38% 积极百分比49.62%
5: 消极百分比17.78% 积极百分比82.22%
6: 消极百分比100.0% 积极百分比0.0%
7: 消极百分比100.0% 积极百分比0.0%
8: 消极百分比33.19% 积极百分比66.81%
9: 消极百分比78.59% 积极百分比21.41%
10: 消极百分比99.9% 积极百分比0.1%
11: 消极百分比99.97% 积极百分比0.03%
12: 消极百分比7.75% 积极百分比92.25%
13: 消极百分比91.57% 积极百分比8.43%
14: 消极百分比99.59% 积极百分比0.41%
15: 消极百分比100.0% 积极百分比0.0%
16: 消极百分比0.69% 积极百分比99.31%
17: 消极百分比40.54% 积极百分比59.46%
18: 消极百分比18.45% 积极百分比81.55%
19: 消极百分比32.42% 积极百分比67.58%
20: 消极百分比36.87% 积极百分比63.13%
21: 消极百分比71.91% 积极百分比28.09%
22: 消极百分比47.72% 积极百分比52.28%
23: 消极百分比11.95% 积极百分比88.05%
24: 消极百分比10.3% 积极百分比89.7%
25: 消极百分比0.0% 积极百分比100.0%
26: 消极百分比88.13% 积极百分比11.87%
27: 消极百分比63.43% 积极百分比36.57%
28: 消极百分比32.8% 积极百分比67.2%
29: 消极百分比8.91% 积极百分比91.09%
30: 消极百分比9.08% 积极百分比90.92%
31: 消极百分比19.07% 积极百分比80.93%
32: 消极百分比74.75% 积极百分比25.25%
33: 消极百分比0.99% 积极百分比99.01%
34: 消极百分比99.64% 积极百分比0.36%
35: 消极百分比9.39% 积极百分比90.61%
36: 消极百分比89.89% 积极百分比10.11%
37: 消极百分比42.86% 积极百分比57.14%
38: 消极百分比25.89% 积极百分比74.11%
39: 消极百分比1.42% 积极百分比98.58%
40: 消极百分比0.81% 积极百分比99.19%
41: 消极百分比82.81% 积极百分比17.19%
42: 消极百分比63.36% 积极百分比36.64%
43: 消极百分比48.79% 积极百分比51.21%
44: 消极百分比36.0% 积极百分比64.0%
45: 消极百分比28.66% 积极百分比71.34%
46: 消极百分比9.47% 积极百分比90.53%
47: 消极百分比99.9% 积极百分比0.1%
