1: 消极百分比6.0% 积极百分比94.0%
2: 消极百分比21.74% 积极百分比78.26%
3: 消极百分比26.44% 积极百分比73.56%
4: 消极百分比10.66% 积极百分比89.34%
5: 消极百分比100.0% 积极百分比0.0%
6: 消极百分比22.73% 积极百分比77.27%
7: 消极百分比100.0% 积极百分比0.0%
8: 消极百分比100.0% 积极百分比0.0%
9: 消极百分比99.56% 积极百分比0.44%
10: 消极百分比100.0% 积极百分比0.0%
11: 消极百分比85.69% 积极百分比14.31%
12: 消极百分比99.98% 积极百分比0.02%
13: 消极百分比100.0% 积极百分比0.0%
14: 消极百分比100.0% 积极百分比0.0%
15: 消极百分比15.45% 积极百分比84.55%
16: 消极百分比67.8% 积极百分比32.2%
17: 消极百分比99.13% 积极百分比0.87%
18: 消极百分比99.54% 积极百分比0.46%
19: 消极百分比1.62% 积极百分比98.38%
20: 消极百分比7.1% 积极百分比92.9%
21: 消极百分比99.99% 积极百分比0.01%
22: 消极百分比79.67% 积极百分比20.33%
23: 消极百分比100.0% 积极百分比0.0%
24: 消极百分比97.79% 积极百分比2.21%
25: 消极百分比15.37% 积极百分比84.63%
26: 消极百分比100.0% 积极百分比0.0%
27: 消极百分比1.19% 积极百分比98.81%
28: 消极百分比100.0% 积极百分比0.0%
29: 消极百分比99.99% 积极百分比0.01%
30: 消极百分比100.0% 积极百分比0.0%
31: 消极百分比79.41% 积极百分比20.59%
32: 消极百分比58.66% 积极百分比41.34%
33: 消极百分比32.79% 积极百分比67.21%
34: 消极百分比99.94% 积极百分比0.06%
35: 消极百分比100.0% 积极百分比0.0%
36: 消极百分比100.0% 积极百分比0.0%
37: 消极百分比25.74% 积极百分比74.26%
38: 消极百分比100.0% 积极百分比0.0%
39: 消极百分比98.36% 积极百分比1.64%
40: 消极百分比1.92% 积极百分比98.08%
41: 消极百分比18.77% 积极百分比81.23%
42: 消极百分比100.0% 积极百分比0.0%
43: 消极百分比99.93% 积极百分比0.07%
44: 消极百分比10.24% 积极百分比89.76%
45: 消极百分比100.0% 积极百分比0.0%
46: 消极百分比15.97% 积极百分比84.03%
47: 消极百分比98.95% 积极百分比1.05%
