1: 消极百分比0.36% 积极百分比99.64%
2: 消极百分比0.0% 积极百分比100.0%
3: 消极百分比0.0% 积极百分比100.0%
4: 消极百分比98.84% 积极百分比1.16%
5: 消极百分比38.88% 积极百分比61.12%
6: 消极百分比11.29% 积极百分比88.71%
7: 消极百分比0.0% 积极百分比100.0%
8: 消极百分比100.0% 积极百分比0.0%
9: 消极百分比89.45% 积极百分比10.55%
10: 消极百分比0.9% 积极百分比99.1%
11: 消极百分比29.06% 积极百分比70.94%
12: 消极百分比0.43% 积极百分比99.57%
13: 消极百分比5.3% 积极百分比94.7%
14: 消极百分比69.25% 积极百分比30.75%
15: 消极百分比0.01% 积极百分比99.99%
16: 消极百分比2.29% 积极百分比97.71%
17: 消极百分比7.97% 积极百分比92.03%
18: 消极百分比32.72% 积极百分比67.28%
19: 消极百分比0.03% 积极百分比99.97%
20: 消极百分比0.0% 积极百分比100.0%
21: 消极百分比10.29% 积极百分比89.71%
22: 消极百分比0.0% 积极百分比100.0%
23: 消极百分比0.94% 积极百分比99.06%
24: 消极百分比27.5% 积极百分比72.5%
25: 消极百分比37.55% 积极百分比62.45%
26: 消极百分比9.8% 积极百分比90.2%
27: 消极百分比19.33% 积极百分比80.67%
28: 消极百分比28.66% 积极百分比71.34%
29: 消极百分比35.88% 积极百分比64.12%
30: 消极百分比20.43% 积极百分比79.57%
31: 消极百分比19.07% 积极百分比80.93%
32: 消极百分比0.0% 积极百分比100.0%
33: 消极百分比97.88% 积极百分比2.12%
34: 消极百分比44.62% 积极百分比55.38%
35: 消极百分比30.53% 积极百分比69.47%
36: 消极百分比6.7% 积极百分比93.3%
37: 消极百分比5.01% 积极百分比94.99%
38: 消极百分比0.58% 积极百分比99.42%
39: 消极百分比0.0% 积极百分比100.0%
40: 消极百分比24.98% 积极百分比75.02%
41: 消极百分比96.95% 积极百分比3.05%
42: 消极百分比0.66% 积极百分比99.34%
43: 消极百分比57.46% 积极百分比42.54%
44: 消极百分比22.99% 积极百分比77.01%
45: 消极百分比21.06% 积极百分比78.94%
46: 消极百分比15.97% 积极百分比84.03%
47: 消极百分比3.94% 积极百分比96.06%
