1: 消极百分比0.45% 积极百分比99.55%
2: 消极百分比0.07% 积极百分比99.93%
3: 消极百分比98.82% 积极百分比1.18%
4: 消极百分比0.0% 积极百分比100.0%
5: 消极百分比96.9% 积极百分比3.1%
6: 消极百分比4.12% 积极百分比95.88%
7: 消极百分比29.74% 积极百分比70.26%
8: 消极百分比13.64% 积极百分比86.36%
9: 消极百分比8.28% 积极百分比91.72%
10: 消极百分比97.62% 积极百分比2.38%
11: 消极百分比17.06% 积极百分比82.94%
12: 消极百分比0.78% 积极百分比99.22%
13: 消极百分比0.25% 积极百分比99.75%
14: 消极百分比1.96% 积极百分比98.04%
15: 消极百分比99.99% 积极百分比0.01%
16: 消极百分比18.36% 积极百分比81.64%
17: 消极百分比100.0% 积极百分比0.0%
18: 消极百分比100.0% 积极百分比0.0%
19: 消极百分比100.0% 积极百分比0.0%
20: 消极百分比3.68% 积极百分比96.32%
21: 消极百分比45.67% 积极百分比54.33%
22: 消极百分比93.31% 积极百分比6.69%
23: 消极百分比9.48% 积极百分比90.52%
24: 消极百分比53.32% 积极百分比46.68%
25: 消极百分比3.01% 积极百分比96.99%
26: 消极百分比44.23% 积极百分比55.77%
27: 消极百分比100.0% 积极百分比0.0%
28: 消极百分比10.12% 积极百分比89.88%
29: 消极百分比79.45% 积极百分比20.55%
30: 消极百分比100.0% 积极百分比0.0%
31: 消极百分比78.27% 积极百分比21.73%
32: 消极百分比99.68% 积极百分比0.32%
33: 消极百分比2.31% 积极百分比97.69%
34: 消极百分比94.54% 积极百分比5.46%
35: 消极百分比37.42% 积极百分比62.58%
36: 消极百分比17.44% 积极百分比82.56%
37: 消极百分比23.11% 积极百分比76.89%
38: 消极百分比7.09% 积极百分比92.91%
39: 消极百分比12.15% 积极百分比87.85%
40: 消极百分比6.83% 积极百分比93.17%
41: 消极百分比36.31% 积极百分比63.69%
42: 消极百分比99.93% 积极百分比0.07%
43: 消极百分比48.73% 积极百分比51.27%
44: 消极百分比98.65% 积极百分比1.35%
45: 消极百分比0.0% 积极百分比100.0%
46: 消极百分比100.0% 积极百分比0.0%
47: 消极百分比0.73% 积极百分比99.27%
48: 消极百分比48.04% 积极百分比51.96%
49: 消极百分比0.71% 积极百分比99.29%
50: 消极百分比44.18% 积极百分比55.82%
51: 消极百分比76.27% 积极百分比23.73%
52: 消极百分比94.93% 积极百分比5.07%
53: 消极百分比17.4% 积极百分比82.6%
54: 消极百分比8.98% 积极百分比91.02%
55: 消极百分比95.36% 积极百分比4.64%
56: 消极百分比18.57% 积极百分比81.43%
57: 消极百分比97.42% 积极百分比2.58%
58: 消极百分比20.43% 积极百分比79.57%
59: 消极百分比89.85% 积极百分比10.15%
60: 消极百分比12.6% 积极百分比87.4%
61: 消极百分比98.93% 积极百分比1.07%
62: 消极百分比27.39% 积极百分比72.61%
63: 消极百分比48.91% 积极百分比51.09%
64: 消极百分比57.73% 积极百分比42.27%
65: 消极百分比5.96% 积极百分比94.04%
66: 消极百分比100.0% 积极百分比0.0%
67: 消极百分比100.0% 积极百分比0.0%
68: 消极百分比99.75% 积极百分比0.25%
69: 消极百分比2.44% 积极百分比97.56%
70: 消极百分比68.04% 积极百分比31.96%
71: 消极百分比24.64% 积极百分比75.36%
72: 消极百分比93.55% 积极百分比6.45%
73: 消极百分比0.03% 积极百分比99.97%
74: 消极百分比70.08% 积极百分比29.92%
75: 消极百分比100.0% 积极百分比0.0%
76: 消极百分比86.53% 积极百分比13.47%
77: 消极百分比7.42% 积极百分比92.58%
78: 消极百分比19.95% 积极百分比80.05%
79: 消极百分比29.32% 积极百分比70.68%
80: 消极百分比99.99% 积极百分比0.01%
81: 消极百分比17.52% 积极百分比82.48%
82: 消极百分比98.66% 积极百分比1.34%
83: 消极百分比82.71% 积极百分比17.29%
84: 消极百分比55.06% 积极百分比44.94%
85: 消极百分比99.98% 积极百分比0.02%
86: 消极百分比20.97% 积极百分比79.03%
87: 消极百分比100.0% 积极百分比0.0%
88: 消极百分比98.0% 积极百分比2.0%
89: 消极百分比0.02% 积极百分比99.98%
90: 消极百分比100.0% 积极百分比0.0%
91: 消极百分比98.42% 积极百分比1.58%
92: 消极百分比73.7% 积极百分比26.3%
93: 消极百分比23.18% 积极百分比76.82%
94: 消极百分比32.84% 积极百分比67.16%
95: 消极百分比46.04% 积极百分比53.96%
96: 消极百分比99.97% 积极百分比0.03%
97: 消极百分比86.27% 积极百分比13.73%
98: 消极百分比99.97% 积极百分比0.03%
99: 消极百分比99.44% 积极百分比0.56%
100: 消极百分比15.17% 积极百分比84.83%
101: 消极百分比83.75% 积极百分比16.25%
102: 消极百分比69.49% 积极百分比30.51%
103: 消极百分比87.44% 积极百分比12.56%
104: 消极百分比99.62% 积极百分比0.38%
105: 消极百分比100.0% 积极百分比0.0%
106: 消极百分比99.99% 积极百分比0.01%
107: 消极百分比99.98% 积极百分比0.02%
108: 消极百分比53.69% 积极百分比46.31%
109: 消极百分比99.53% 积极百分比0.47%
110: 消极百分比11.29% 积极百分比88.71%
111: 消极百分比98.03% 积极百分比1.97%
112: 消极百分比99.68% 积极百分比0.32%
113: 消极百分比98.5% 积极百分比1.5%
