1: 消极百分比66.51% 积极百分比33.49%
2: 消极百分比99.99% 积极百分比0.01%
3: 消极百分比99.7% 积极百分比0.3%
4: 消极百分比8.8% 积极百分比91.2%
5: 消极百分比0.06% 积极百分比99.94%
6: 消极百分比11.11% 积极百分比88.89%
7: 消极百分比100.0% 积极百分比0.0%
8: 消极百分比13.64% 积极百分比86.36%
9: 消极百分比79.53% 积极百分比20.47%
10: 消极百分比99.93% 积极百分比0.07%
11: 消极百分比99.98% 积极百分比0.02%
12: 消极百分比23.76% 积极百分比76.24%
13: 消极百分比71.65% 积极百分比28.35%
14: 消极百分比100.0% 积极百分比0.0%
15: 消极百分比9.37% 积极百分比90.63%
16: 消极百分比96.89% 积极百分比3.11%
17: 消极百分比12.15% 积极百分比87.85%
18: 消极百分比100.0% 积极百分比0.0%
19: 消极百分比0.02% 积极百分比99.98%
20: 消极百分比95.52% 积极百分比4.48%
21: 消极百分比7.68% 积极百分比92.32%
22: 消极百分比57.16% 积极百分比42.84%
23: 消极百分比11.95% 积极百分比88.05%
24: 消极百分比67.75% 积极百分比32.25%
25: 消极百分比99.8% 积极百分比0.2%
26: 消极百分比8.91% 积极百分比91.09%
27: 消极百分比55.13% 积极百分比44.87%
28: 消极百分比52.52% 积极百分比47.48%
29: 消极百分比65.83% 积极百分比34.17%
30: 消极百分比99.99% 积极百分比0.01%
31: 消极百分比100.0% 积极百分比0.0%
32: 消极百分比100.0% 积极百分比0.0%
33: 消极百分比88.77% 积极百分比11.23%
34: 消极百分比100.0% 积极百分比0.0%
35: 消极百分比95.47% 积极百分比4.53%
36: 消极百分比99.85% 积极百分比0.15%
37: 消极百分比11.92% 积极百分比88.08%
38: 消极百分比57.15% 积极百分比42.85%
39: 消极百分比98.12% 积极百分比1.88%
40: 消极百分比100.0% 积极百分比0.0%
41: 消极百分比93.7% 积极百分比6.3%
42: 消极百分比100.0% 积极百分比0.0%
43: 消极百分比100.0% 积极百分比0.0%
44: 消极百分比16.33% 积极百分比83.67%
45: 消极百分比6.83% 积极百分比93.17%
46: 消极百分比46.79% 积极百分比53.21%
47: 消极百分比0.03% 积极百分比99.97%
48: 消极百分比98.7% 积极百分比1.3%
49: 消极百分比100.0% 积极百分比0.0%
50: 消极百分比99.98% 积极百分比0.02%
51: 消极百分比100.0% 积极百分比0.0%
52: 消极百分比94.15% 积极百分比5.85%
53: 消极百分比7.11% 积极百分比92.89%
54: 消极百分比99.98% 积极百分比0.02%
55: 消极百分比100.0% 积极百分比0.0%
56: 消极百分比99.74% 积极百分比0.26%
57: 消极百分比100.0% 积极百分比0.0%
58: 消极百分比83.76% 积极百分比16.24%
59: 消极百分比99.48% 积极百分比0.52%
60: 消极百分比100.0% 积极百分比0.0%
61: 消极百分比40.88% 积极百分比59.12%
62: 消极百分比99.94% 积极百分比0.06%
63: 消极百分比82.68% 积极百分比17.32%
64: 消极百分比99.58% 积极百分比0.42%
65: 消极百分比99.99% 积极百分比0.01%
66: 消极百分比28.33% 积极百分比71.67%
67: 消极百分比2.32% 积极百分比97.68%
68: 消极百分比0.78% 积极百分比99.22%
69: 消极百分比50.69% 积极百分比49.31%
70: 消极百分比0.64% 积极百分比99.36%
71: 消极百分比100.0% 积极百分比0.0%
72: 消极百分比1.99% 积极百分比98.01%
73: 消极百分比46.49% 积极百分比53.51%
74: 消极百分比85.12% 积极百分比14.88%
75: 消极百分比99.73% 积极百分比0.27%
76: 消极百分比99.87% 积极百分比0.13%
77: 消极百分比0.0% 积极百分比100.0%
78: 消极百分比99.99% 积极百分比0.01%
79: 消极百分比42.25% 积极百分比57.75%
80: 消极百分比36.36% 积极百分比63.64%
81: 消极百分比99.79% 积极百分比0.21%
82: 消极百分比27.45% 积极百分比72.55%
83: 消极百分比3.86% 积极百分比96.14%
84: 消极百分比99.93% 积极百分比0.07%
85: 消极百分比2.79% 积极百分比97.21%
86: 消极百分比92.01% 积极百分比7.99%
87: 消极百分比37.39% 积极百分比62.61%
88: 消极百分比0.85% 积极百分比99.15%
89: 消极百分比100.0% 积极百分比0.0%
90: 消极百分比100.0% 积极百分比0.0%
91: 消极百分比3.09% 积极百分比96.91%
92: 消极百分比100.0% 积极百分比0.0%
93: 消极百分比65.89% 积极百分比34.11%
94: 消极百分比99.91% 积极百分比0.09%
95: 消极百分比100.0% 积极百分比0.0%
96: 消极百分比99.61% 积极百分比0.39%
97: 消极百分比64.19% 积极百分比35.81%
98: 消极百分比100.0% 积极百分比0.0%
99: 消极百分比100.0% 积极百分比0.0%
100: 消极百分比97.36% 积极百分比2.64%
101: 消极百分比59.17% 积极百分比40.83%
102: 消极百分比3.44% 积极百分比96.56%
103: 消极百分比100.0% 积极百分比0.0%
104: 消极百分比99.13% 积极百分比0.87%
105: 消极百分比7.65% 积极百分比92.35%
106: 消极百分比7.32% 积极百分比92.68%
107: 消极百分比100.0% 积极百分比0.0%
108: 消极百分比0.59% 积极百分比99.41%
109: 消极百分比96.38% 积极百分比3.62%
110: 消极百分比1.52% 积极百分比98.48%
111: 消极百分比100.0% 积极百分比0.0%
112: 消极百分比98.08% 积极百分比1.92%
113: 消极百分比1.28% 积极百分比98.72%
114: 消极百分比16.14% 积极百分比83.86%
115: 消极百分比100.0% 积极百分比0.0%
116: 消极百分比100.0% 积极百分比0.0%
117: 消极百分比25.27% 积极百分比74.73%
118: 消极百分比99.17% 积极百分比0.83%
119: 消极百分比21.32% 积极百分比78.68%
120: 消极百分比100.0% 积极百分比0.0%
121: 消极百分比100.0% 积极百分比0.0%
122: 消极百分比99.95% 积极百分比0.05%
123: 消极百分比4.04% 积极百分比95.96%
124: 消极百分比17.13% 积极百分比82.87%
125: 消极百分比94.63% 积极百分比5.37%
126: 消极百分比9.84% 积极百分比90.16%
127: 消极百分比5.32% 积极百分比94.68%
128: 消极百分比96.77% 积极百分比3.23%
129: 消极百分比61.29% 积极百分比38.71%
130: 消极百分比97.84% 积极百分比2.16%
131: 消极百分比97.41% 积极百分比2.59%
132: 消极百分比14.61% 积极百分比85.39%
133: 消极百分比3.03% 积极百分比96.97%
134: 消极百分比99.99% 积极百分比0.01%
135: 消极百分比0.29% 积极百分比99.71%
136: 消极百分比100.0% 积极百分比0.0%
137: 消极百分比1.62% 积极百分比98.38%
138: 消极百分比99.96% 积极百分比0.04%
139: 消极百分比90.6% 积极百分比9.4%
140: 消极百分比100.0% 积极百分比0.0%
141: 消极百分比73.29% 积极百分比26.71%
142: 消极百分比44.53% 积极百分比55.47%
143: 消极百分比14.61% 积极百分比85.39%
144: 消极百分比58.61% 积极百分比41.39%
145: 消极百分比1.3% 积极百分比98.7%
146: 消极百分比21.52% 积极百分比78.48%
147: 消极百分比99.28% 积极百分比0.72%
148: 消极百分比74.3% 积极百分比25.7%
149: 消极百分比60.84% 积极百分比39.16%
150: 消极百分比14.62% 积极百分比85.38%
151: 消极百分比100.0% 积极百分比0.0%
152: 消极百分比1.91% 积极百分比98.09%
153: 消极百分比0.13% 积极百分比99.87%
154: 消极百分比0.23% 积极百分比99.77%
155: 消极百分比99.15% 积极百分比0.85%
156: 消极百分比78.84% 积极百分比21.16%
157: 消极百分比99.99% 积极百分比0.01%
158: 消极百分比99.97% 积极百分比0.03%
159: 消极百分比100.0% 积极百分比0.0%
160: 消极百分比100.0% 积极百分比0.0%
161: 消极百分比0.76% 积极百分比99.24%
162: 消极百分比100.0% 积极百分比0.0%
163: 消极百分比99.24% 积极百分比0.76%
164: 消极百分比79.82% 积极百分比20.18%
165: 消极百分比1.97% 积极百分比98.03%
166: 消极百分比0.0% 积极百分比100.0%
167: 消极百分比13.78% 积极百分比86.22%
168: 消极百分比75.05% 积极百分比24.95%
169: 消极百分比0.0% 积极百分比100.0%
170: 消极百分比100.0% 积极百分比0.0%
171: 消极百分比87.2% 积极百分比12.8%
172: 消极百分比15.97% 积极百分比84.03%
173: 消极百分比98.32% 积极百分比1.68%
174: 消极百分比100.0% 积极百分比0.0%
175: 消极百分比100.0% 积极百分比0.0%
176: 消极百分比86.66% 积极百分比13.34%
177: 消极百分比89.85% 积极百分比10.15%
178: 消极百分比9.63% 积极百分比90.37%
179: 消极百分比100.0% 积极百分比0.0%
180: 消极百分比1.18% 积极百分比98.82%
181: 消极百分比19.27% 积极百分比80.73%
182: 消极百分比99.82% 积极百分比0.18%
183: 消极百分比100.0% 积极百分比0.0%
184: 消极百分比100.0% 积极百分比0.0%
185: 消极百分比58.64% 积极百分比41.36%
186: 消极百分比100.0% 积极百分比0.0%
187: 消极百分比100.0% 积极百分比0.0%
188: 消极百分比100.0% 积极百分比0.0%
189: 消极百分比0.61% 积极百分比99.39%
190: 消极百分比97.76% 积极百分比2.24%
191: 消极百分比8.78% 积极百分比91.22%
192: 消极百分比99.9% 积极百分比0.1%
193: 消极百分比91.32% 积极百分比8.68%
194: 消极百分比99.14% 积极百分比0.86%
195: 消极百分比80.78% 积极百分比19.22%
196: 消极百分比2.89% 积极百分比97.11%
197: 消极百分比41.39% 积极百分比58.61%
198: 消极百分比69.54% 积极百分比30.46%
199: 消极百分比18.46% 积极百分比81.54%
200: 消极百分比34.24% 积极百分比65.76%
201: 消极百分比69.28% 积极百分比30.72%
202: 消极百分比98.9% 积极百分比1.1%
203: 消极百分比57.88% 积极百分比42.12%
204: 消极百分比16.53% 积极百分比83.47%
205: 消极百分比100.0% 积极百分比0.0%
206: 消极百分比35.06% 积极百分比64.94%
207: 消极百分比37.76% 积极百分比62.24%
208: 消极百分比99.67% 积极百分比0.33%
209: 消极百分比99.2% 积极百分比0.8%
210: 消极百分比45.52% 积极百分比54.48%
211: 消极百分比100.0% 积极百分比0.0%
212: 消极百分比100.0% 积极百分比0.0%
213: 消极百分比99.93% 积极百分比0.07%
214: 消极百分比100.0% 积极百分比0.0%
215: 消极百分比100.0% 积极百分比0.0%
216: 消极百分比98.93% 积极百分比1.07%
217: 消极百分比16.88% 积极百分比83.12%
218: 消极百分比15.91% 积极百分比84.09%
219: 消极百分比78.94% 积极百分比21.06%
220: 消极百分比42.36% 积极百分比57.64%
221: 消极百分比99.26% 积极百分比0.74%
222: 消极百分比99.78% 积极百分比0.22%
223: 消极百分比100.0% 积极百分比0.0%
224: 消极百分比6.66% 积极百分比93.34%
225: 消极百分比5.96% 积极百分比94.04%
226: 消极百分比100.0% 积极百分比0.0%
227: 消极百分比0.87% 积极百分比99.13%
228: 消极百分比100.0% 积极百分比0.0%
229: 消极百分比99.97% 积极百分比0.03%
230: 消极百分比99.64% 积极百分比0.36%
231: 消极百分比5.22% 积极百分比94.78%
232: 消极百分比0.0% 积极百分比100.0%
233: 消极百分比94.52% 积极百分比5.48%
234: 消极百分比25.91% 积极百分比74.09%
235: 消极百分比99.15% 积极百分比0.85%
236: 消极百分比100.0% 积极百分比0.0%
237: 消极百分比99.99% 积极百分比0.01%
238: 消极百分比0.56% 积极百分比99.44%
239: 消极百分比15.71% 积极百分比84.29%
240: 消极百分比77.79% 积极百分比22.21%
241: 消极百分比8.12% 积极百分比91.88%
242: 消极百分比98.37% 积极百分比1.63%
243: 消极百分比32.6% 积极百分比67.4%
244: 消极百分比97.23% 积极百分比2.77%
245: 消极百分比26.07% 积极百分比73.93%
246: 消极百分比44.98% 积极百分比55.02%
247: 消极百分比70.94% 积极百分比29.06%
248: 消极百分比100.0% 积极百分比0.0%
249: 消极百分比99.98% 积极百分比0.02%
250: 消极百分比0.39% 积极百分比99.61%
251: 消极百分比4.1% 积极百分比95.9%
252: 消极百分比0.05% 积极百分比99.95%
253: 消极百分比5.29% 积极百分比94.71%
254: 消极百分比100.0% 积极百分比0.0%
255: 消极百分比99.95% 积极百分比0.05%
256: 消极百分比100.0% 积极百分比0.0%
257: 消极百分比64.45% 积极百分比35.55%
258: 消极百分比68.81% 积极百分比31.19%
259: 消极百分比43.9% 积极百分比56.1%
260: 消极百分比41.14% 积极百分比58.86%
261: 消极百分比0.13% 积极百分比99.87%
262: 消极百分比100.0% 积极百分比0.0%
263: 消极百分比100.0% 积极百分比0.0%
264: 消极百分比43.51% 积极百分比56.49%
265: 消极百分比73.08% 积极百分比26.92%
266: 消极百分比99.35% 积极百分比0.65%
267: 消极百分比2.0% 积极百分比98.0%
268: 消极百分比4.42% 积极百分比95.58%
269: 消极百分比33.92% 积极百分比66.08%
270: 消极百分比100.0% 积极百分比0.0%
271: 消极百分比100.0% 积极百分比0.0%
272: 消极百分比11.49% 积极百分比88.51%
273: 消极百分比99.78% 积极百分比0.22%
274: 消极百分比99.03% 积极百分比0.97%
275: 消极百分比88.67% 积极百分比11.33%
276: 消极百分比100.0% 积极百分比0.0%
277: 消极百分比86.97% 积极百分比13.03%
278: 消极百分比1.03% 积极百分比98.97%
279: 消极百分比98.88% 积极百分比1.12%
280: 消极百分比100.0% 积极百分比0.0%
281: 消极百分比28.29% 积极百分比71.71%
282: 消极百分比12.18% 积极百分比87.82%
283: 消极百分比6.98% 积极百分比93.02%
284: 消极百分比2.73% 积极百分比97.27%
285: 消极百分比100.0% 积极百分比0.0%
286: 消极百分比51.94% 积极百分比48.06%
287: 消极百分比100.0% 积极百分比0.0%
288: 消极百分比74.37% 积极百分比25.63%
289: 消极百分比56.95% 积极百分比43.05%
290: 消极百分比55.0% 积极百分比45.0%
291: 消极百分比70.32% 积极百分比29.68%
292: 消极百分比5.88% 积极百分比94.12%
293: 消极百分比13.46% 积极百分比86.54%
294: 消极百分比93.78% 积极百分比6.22%
295: 消极百分比32.41% 积极百分比67.59%
296: 消极百分比18.77% 积极百分比81.23%
297: 消极百分比6.98% 积极百分比93.02%
298: 消极百分比2.2% 积极百分比97.8%
299: 消极百分比100.0% 积极百分比0.0%
300: 消极百分比24.38% 积极百分比75.62%
301: 消极百分比100.0% 积极百分比0.0%
302: 消极百分比30.32% 积极百分比69.68%
303: 消极百分比100.0% 积极百分比0.0%
304: 消极百分比1.65% 积极百分比98.35%
305: 消极百分比11.55% 积极百分比88.45%
306: 消极百分比99.81% 积极百分比0.19%
307: 消极百分比98.39% 积极百分比1.61%
308: 消极百分比72.33% 积极百分比27.67%
309: 消极百分比29.54% 积极百分比70.46%
310: 消极百分比8.31% 积极百分比91.69%
311: 消极百分比100.0% 积极百分比0.0%
312: 消极百分比60.28% 积极百分比39.72%
313: 消极百分比91.21% 积极百分比8.79%
314: 消极百分比98.74% 积极百分比1.26%
315: 消极百分比70.91% 积极百分比29.09%
316: 消极百分比20.76% 积极百分比79.24%
317: 消极百分比67.58% 积极百分比32.42%
318: 消极百分比12.91% 积极百分比87.09%
319: 消极百分比100.0% 积极百分比0.0%
320: 消极百分比12.32% 积极百分比87.68%
321: 消极百分比44.39% 积极百分比55.61%
322: 消极百分比99.87% 积极百分比0.13%
323: 消极百分比100.0% 积极百分比0.0%
324: 消极百分比86.55% 积极百分比13.45%
325: 消极百分比100.0% 积极百分比0.0%
326: 消极百分比99.88% 积极百分比0.12%
327: 消极百分比100.0% 积极百分比0.0%
328: 消极百分比2.03% 积极百分比97.97%
329: 消极百分比99.92% 积极百分比0.08%
330: 消极百分比100.0% 积极百分比0.0%
331: 消极百分比5.61% 积极百分比94.39%
332: 消极百分比13.35% 积极百分比86.65%
333: 消极百分比93.27% 积极百分比6.73%
334: 消极百分比57.58% 积极百分比42.42%
335: 消极百分比9.98% 积极百分比90.02%
336: 消极百分比1.77% 积极百分比98.23%
337: 消极百分比0.69% 积极百分比99.31%
338: 消极百分比99.46% 积极百分比0.54%
339: 消极百分比1.16% 积极百分比98.84%
340: 消极百分比0.79% 积极百分比99.21%
341: 消极百分比88.63% 积极百分比11.37%
342: 消极百分比28.62% 积极百分比71.38%
343: 消极百分比100.0% 积极百分比0.0%
344: 消极百分比17.78% 积极百分比82.22%
345: 消极百分比99.99% 积极百分比0.01%
346: 消极百分比99.99% 积极百分比0.01%
347: 消极百分比100.0% 积极百分比0.0%
348: 消极百分比100.0% 积极百分比0.0%
349: 消极百分比100.0% 积极百分比0.0%
350: 消极百分比94.01% 积极百分比5.99%
351: 消极百分比91.59% 积极百分比8.41%
352: 消极百分比77.62% 积极百分比22.38%
353: 消极百分比15.97% 积极百分比84.03%
354: 消极百分比99.99% 积极百分比0.01%
355: 消极百分比54.64% 积极百分比45.36%
356: 消极百分比3.82% 积极百分比96.18%
357: 消极百分比0.94% 积极百分比99.06%
358: 消极百分比75.87% 积极百分比24.13%
359: 消极百分比93.7% 积极百分比6.3%
360: 消极百分比99.78% 积极百分比0.22%
361: 消极百分比99.98% 积极百分比0.02%
362: 消极百分比97.45% 积极百分比2.55%
363: 消极百分比100.0% 积极百分比0.0%
364: 消极百分比100.0% 积极百分比0.0%
365: 消极百分比100.0% 积极百分比0.0%
366: 消极百分比98.02% 积极百分比1.98%
367: 消极百分比97.41% 积极百分比2.59%
368: 消极百分比18.58% 积极百分比81.42%
369: 消极百分比0.11% 积极百分比99.89%
370: 消极百分比99.34% 积极百分比0.66%
371: 消极百分比100.0% 积极百分比0.0%
372: 消极百分比43.9% 积极百分比56.1%
373: 消极百分比15.97% 积极百分比84.03%
374: 消极百分比100.0% 积极百分比0.0%
375: 消极百分比10.51% 积极百分比89.49%
376: 消极百分比35.16% 积极百分比64.84%
377: 消极百分比98.75% 积极百分比1.25%
378: 消极百分比98.22% 积极百分比1.78%
379: 消极百分比100.0% 积极百分比0.0%
380: 消极百分比12.94% 积极百分比87.06%
381: 消极百分比15.64% 积极百分比84.36%
382: 消极百分比18.79% 积极百分比81.21%
383: 消极百分比100.0% 积极百分比0.0%
