1: 消极百分比99.96% 积极百分比0.04%
2: 消极百分比100.0% 积极百分比0.0%
3: 消极百分比94.63% 积极百分比5.37%
4: 消极百分比99.95% 积极百分比0.05%
5: 消极百分比97.2% 积极百分比2.8%
6: 消极百分比11.52% 积极百分比88.48%
7: 消极百分比94.42% 积极百分比5.58%
8: 消极百分比99.91% 积极百分比0.09%
9: 消极百分比4.74% 积极百分比95.26%
10: 消极百分比37.08% 积极百分比62.92%
11: 消极百分比100.0% 积极百分比0.0%
12: 消极百分比27.51% 积极百分比72.49%
13: 消极百分比99.17% 积极百分比0.83%
14: 消极百分比95.96% 积极百分比4.04%
15: 消极百分比87.09% 积极百分比12.91%
16: 消极百分比6.32% 积极百分比93.68%
17: 消极百分比100.0% 积极百分比0.0%
18: 消极百分比0.35% 积极百分比99.65%
19: 消极百分比65.92% 积极百分比34.08%
20: 消极百分比70.75% 积极百分比29.25%
21: 消极百分比24.85% 积极百分比75.15%
22: 消极百分比98.94% 积极百分比1.06%
23: 消极百分比100.0% 积极百分比0.0%
24: 消极百分比53.53% 积极百分比46.47%
25: 消极百分比21.2% 积极百分比78.8%
26: 消极百分比100.0% 积极百分比0.0%
27: 消极百分比100.0% 积极百分比0.0%
28: 消极百分比70.88% 积极百分比29.12%
29: 消极百分比16.19% 积极百分比83.81%
30: 消极百分比99.92% 积极百分比0.08%
31: 消极百分比98.77% 积极百分比1.23%
32: 消极百分比98.8% 积极百分比1.2%
33: 消极百分比100.0% 积极百分比0.0%
34: 消极百分比10.69% 积极百分比89.31%
35: 消极百分比11.95% 积极百分比88.05%
36: 消极百分比100.0% 积极百分比0.0%
37: 消极百分比100.0% 积极百分比0.0%
38: 消极百分比99.46% 积极百分比0.54%
39: 消极百分比97.68% 积极百分比2.32%
40: 消极百分比56.64% 积极百分比43.36%
41: 消极百分比100.0% 积极百分比0.0%
42: 消极百分比67.54% 积极百分比32.46%
43: 消极百分比55.53% 积极百分比44.47%
44: 消极百分比6.0% 积极百分比94.0%
45: 消极百分比4.54% 积极百分比95.46%
46: 消极百分比100.0% 积极百分比0.0%
47: 消极百分比100.0% 积极百分比0.0%
48: 消极百分比99.99% 积极百分比0.01%
49: 消极百分比99.99% 积极百分比0.01%
50: 消极百分比100.0% 积极百分比0.0%
51: 消极百分比18.77% 积极百分比81.23%
52: 消极百分比16.03% 积极百分比83.97%
53: 消极百分比28.99% 积极百分比71.01%
54: 消极百分比15.97% 积极百分比84.03%
55: 消极百分比15.97% 积极百分比84.03%
56: 消极百分比30.28% 积极百分比69.72%
57: 消极百分比7.88% 积极百分比92.12%
58: 消极百分比100.0% 积极百分比0.0%
59: 消极百分比100.0% 积极百分比0.0%
60: 消极百分比98.09% 积极百分比1.91%
61: 消极百分比36.66% 积极百分比63.34%
62: 消极百分比19.83% 积极百分比80.17%
63: 消极百分比94.37% 积极百分比5.63%
64: 消极百分比99.59% 积极百分比0.41%
65: 消极百分比96.16% 积极百分比3.84%
66: 消极百分比0.53% 积极百分比99.47%
67: 消极百分比100.0% 积极百分比0.0%
68: 消极百分比73.28% 积极百分比26.72%
69: 消极百分比99.87% 积极百分比0.13%
70: 消极百分比100.0% 积极百分比0.0%
71: 消极百分比90.97% 积极百分比9.03%
72: 消极百分比1.05% 积极百分比98.95%
73: 消极百分比100.0% 积极百分比0.0%
74: 消极百分比99.34% 积极百分比0.66%
75: 消极百分比98.77% 积极百分比1.23%
76: 消极百分比100.0% 积极百分比0.0%
77: 消极百分比100.0% 积极百分比0.0%
78: 消极百分比100.0% 积极百分比0.0%
79: 消极百分比6.66% 积极百分比93.34%
80: 消极百分比23.13% 积极百分比76.87%
81: 消极百分比97.69% 积极百分比2.31%
82: 消极百分比34.28% 积极百分比65.72%
83: 消极百分比100.0% 积极百分比0.0%
84: 消极百分比99.99% 积极百分比0.01%
85: 消极百分比100.0% 积极百分比0.0%
86: 消极百分比99.92% 积极百分比0.08%
87: 消极百分比99.88% 积极百分比0.12%
88: 消极百分比100.0% 积极百分比0.0%
89: 消极百分比0.02% 积极百分比99.98%
90: 消极百分比100.0% 积极百分比0.0%
91: 消极百分比25.83% 积极百分比74.17%
92: 消极百分比30.58% 积极百分比69.42%
93: 消极百分比22.5% 积极百分比77.5%
94: 消极百分比84.23% 积极百分比15.77%
95: 消极百分比91.52% 积极百分比8.48%
96: 消极百分比40.95% 积极百分比59.05%
97: 消极百分比100.0% 积极百分比0.0%
98: 消极百分比76.51% 积极百分比23.49%
99: 消极百分比98.54% 积极百分比1.46%
100: 消极百分比100.0% 积极百分比0.0%
101: 消极百分比99.08% 积极百分比0.92%
102: 消极百分比98.27% 积极百分比1.73%
103: 消极百分比100.0% 积极百分比0.0%
104: 消极百分比45.21% 积极百分比54.79%
105: 消极百分比99.99% 积极百分比0.01%
106: 消极百分比98.1% 积极百分比1.9%
107: 消极百分比99.91% 积极百分比0.09%
108: 消极百分比73.45% 积极百分比26.55%
109: 消极百分比49.33% 积极百分比50.67%
110: 消极百分比0.08% 积极百分比99.92%
111: 消极百分比14.14% 积极百分比85.86%
112: 消极百分比100.0% 积极百分比0.0%
113: 消极百分比99.1% 积极百分比0.9%
114: 消极百分比93.03% 积极百分比6.97%
115: 消极百分比70.66% 积极百分比29.34%
116: 消极百分比7.96% 积极百分比92.04%
117: 消极百分比99.98% 积极百分比0.02%
118: 消极百分比24.11% 积极百分比75.89%
119: 消极百分比100.0% 积极百分比0.0%
120: 消极百分比96.08% 积极百分比3.92%
121: 消极百分比50.04% 积极百分比49.96%
122: 消极百分比12.62% 积极百分比87.38%
123: 消极百分比24.31% 积极百分比75.69%
124: 消极百分比43.86% 积极百分比56.14%
125: 消极百分比10.36% 积极百分比89.64%
126: 消极百分比21.14% 积极百分比78.86%
127: 消极百分比97.29% 积极百分比2.71%
128: 消极百分比46.59% 积极百分比53.41%
129: 消极百分比10.11% 积极百分比89.89%
130: 消极百分比99.94% 积极百分比0.06%
